1,2,3,4,5,6,7,8,9,10
-0.0026038683064454064,-0.002610415978235309,-0.0025919114471227665,-0.002664276743464394,-0.0025272347076862947,-0.0028082084957111197,-0.002367063267990332,-0.0030907591398558953,-0.00205251035659117,-0.003592723413690571
-0.002953213284042481,-0.002959648079632032,-0.0029437792099241723,-0.003010563675773373,-0.002888620498016108,-0.003144393017725421,-0.002749980729961396,-0.0034031404709508224,-0.002478865991247356,-0.0038514718136490544
-0.0033291820787148037,-0.0033355857348601596,-0.00332208640590913,-0.0033842646350957955,-0.0032754811008216043,-0.003510026162538613,-0.003155718343951223,-0.003749785357945614,-0.002921158539993541,-0.004156868174320072
-0.0037330078057181445,-0.003739452342318037,-0.0037281140447684214,-0.003786494905354993,-0.00368931335191945,-0.0039058672151253853,-0.003586387242416714,-0.004130424325320251,-0.0033833453261269846,-0.0045052217469698464
-0.0041661168686692234,-0.004172667138741131,-0.004163326865849478,-0.004218591631299417,-0.004131750618383479,-0.004332987040022696,-0.004044078736390057,-0.004545400867713769,-0.0038687833260968446,-0.004894668374736276
-0.004630165046810693,-0.004636880709229149,-0.004629412072254823,-0.004682142879890791,-0.004604614722491308,-0.004792772066660725,-0.004530965661440567,-0.00499557381614173,-0.004380547989649453,-0.0053245816736504055
-0.005127080084311121,-0.005134017179406016,-0.005128323841968958,-0.005179025343680021,-0.005109969695314423,-0.005286945260229376,-0.00504938814543808,-0.005482276150067953,-0.004921645961577948,-0.00579526187570509
-0.005659112469060323,-0.0056663247235528335,-0.005662335542541728,-0.005711451697077786,-0.005650180653033711,-0.00581760206451752,-0.005601934007233309,-0.006007311501185428,-0.005495173171389276,-0.006307776032978818
-0.006228896589569481,-0.00623643654299481,-0.006234101996911065,-0.006282029361828403,-0.006227981005996496,-0.00638726126806059,-0.006191520948597125,-0.006572979254898879,-0.006104446613082326,-0.0068638886756239815
-0.006839525134816096,-0.006847445157774014,-0.006846734774602731,-0.00689383326719188,-0.006846551538401718,-0.0069989322696813756,-0.00682148643433852,-0.007182124623890665,-0.006753127142629647,-0.0074660528058003856
-0.007494640523441208,-0.00750299378471711,-0.007503894373330641,-0.007550496211324728,-0.007509615606081043,-0.00765620165413075,-0.007495690972449376,-0.007838213623972275,-0.007445345474425126,-0.008117446924786496
-0.00819854841876438,-0.008207389851243578,-0.008209904407395467,-0.008256321768080449,-0.008221555840260785,-0.008363343583041053,-0.008218641131848487,-0.008545435670026635,-0.00818584153695004,-0.008822052846217492
-0.008956360158082804,-0.008965747471197627,-0.008969894680896566,-0.009016426504602751,-0.0089875594399543,-0.009125460495205346,-0.008995640028245933,-0.009308839200471004,-0.00898012727880288,-0.00958477510349383
